task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
TakeMeasuringSpoonOutTask,1,0,0.0,600.0,0.0,11.9
TakeMugsOffOfShelfTask,1,0,0.0,2700.0,0.0,11.9
TakeSpatulaOffShelfTask,1,0,0.0,900.0,0.0,11.8
ThrowAwayAppleTask,1,0,0.0,900.0,0.0,12.0
ThrowAwaySnacksTask,1,0,0.0,1800.0,0.0,11.9
ToolOrganizationBothTask,1,0,0.0,2700.0,0.0,11.9
ToolOrganizationTask,1,0,0.0,2700.0,0.0,11.9
ToolsPickingAllHammersTask,1,0,0.0,3600.0,0.0,11.9
ToolsPickingDrillTask,1,0,0.0,900.0,0.0,11.9
ToolsPickingHammerTask,1,0,0.0,900.0,0.0,11.9
ToyInBinTask,1,0,0.0,900.0,0.0,11.9
UnstackRubiksCubeTask,1,0,0.0,1350.0,0.5,11.9
UtensilsInMugTask,1,0,0.0,1350.0,0.0,11.9
WhiteMugInCenterOfTableTask,1,1,1.0,166.0,1.0,12.4
WhiteMugsInBinTask,1,0,0.0,900.0,0.0,11.9
WoodSpatulaToBowlTask,1,1,1.0,315.0,1.0,12.1
YellowAndWhiteObjectsInBinTask,1,1,1.0,826.0,1.0,11.9
YogurtInBowlTask,1,0,0.0,600.0,0.0,12.0
